Vehicle Type,Count,Date
Car,150,2023-01-01
Truck,50,2023-01-01
Bus,30,2023-01-01
Car,200,2023-02-01
Truck,60,2023-02-01
Bus,40,2023-02-01
Car,180,2023-03-01
Truck,55,2023-03-01
Bus,35,2023-03-01
Car,220,2023-04-01
Truck,70,2023-04-01
Bus,45,2023-04-01
Car,190,2023-05-01
Truck,65,2023-05-01
Bus,50,2023-05-01
Car,210,2023-06-01
Truck,75,2023-06-01
Bus,55,2023-06-01
Car,230,2023-07-01
Truck,80,2023-07-01
Bus,60,2023-07-01
Car,240,2023-08-01
Truck,85,2023-08-01
Bus,65,2023-08-01
Car,250,2023-09-01
Truck,90,2023-09-01
Bus,70,2023-09-01
Car,260,2023-10-01
Truck,95,2023-10-01
Bus,75,2023-10-01
Car,270,2023-11-01
Truck,100,2023-11-01
Bus,80,2023-11-01
Car,280,2023-12-01
Truck,105,2023-12-01
Bus,85,2023-12-01
Car,300,2024-01-01
Truck,110,2024-01-01
Bus,90,2024-01-01
Car,310,2024-02-01
Truck,115,2024-02-01
Bus,95,2024-02-01
Car,320,2024-03-01
Truck,120,2024-03-01
Bus,100,2024-03-01
Car,330,2024-04-01
Truck,125,2024-04-01
Bus,105,2024-04-01
Car,340,2024-05-01
Truck,130,2024-05-01
Bus,110,2024-05-01
Car,350,2024-06-01
Truck,135,2024-06-01
Bus,115,2024-06-01
Car,360,2024-07-01
Truck,140,2024-07-01
Bus,120,2024-07-01
Car,370,2024-08-01
Truck,145,2024-08-01
Bus,125,2024-08-01
Car,380,2024-09-01
Truck,150,2024-09-01
Bus,130,2024-09-01
Car,390,2024-10-01
Truck,155,2024-10-01
Bus,135,2024-10-01
Car,400,2024-11-01
Truck,160,2024-11-01
Bus,140,2024-11-01
Car,410,2024-12-01
Truck,165,2024-12-01
Bus,145,2024-12-01
Car,420,2025-01-01
Truck,170,2025-01-01
Bus,150,2025-01-01
Car,430,2025-02-01
Truck,175,2025-02-01
Bus,155,2025-02-01
Car,440,2025-03-01
Truck,180,2025-03-01
Bus,160,2025-03-01
Car,450,2025-04-01
Truck,185,2025-04-01
Bus,165,2025-04-01
Car,460,2025-05-01
Truck,190,2025-05-01
Bus,170,2025-05-01
Car,470,2025-06-01
Truck,195,2025-06-01
Bus,175,2025-06-01
Car,480,2025-07-01
Truck,200,2025-07-01
Bus,180,2025-07-01
Car,490,2025-08-01
Truck,205,2025-08-01
Bus,185,2025-08-01
Car,500,2025-09-01
Truck,210,2025-09-01
Bus,190,2025-09-01
Car,510,2025-10-01
Truck,215,2025-10-01
Bus,195,2025-10-01
Car,520,2025-11-01
Truck,220,2025-11-01
Bus,200,2025-11-01
Car,530,2025-12-01
Truck,225,2025-12-01
Bus,205,2025-12-01